Variable,Type,Description,Source
bedrooms,House,Number of bedrooms,Mecklenburg County Assessor
full_baths,House,Number of full bathrooms,Mecklenburg County Assessor
half_baths,House,Number of half bathrooms,Mecklenburg County Assessor
fireplaces,House,Number of fireplaces,Mecklenburg County Assessor
finished_area,House,Square footage of finished area,Mecklenburg County Assessor
total_sqft,House,Total square footage,Mecklenburg County Assessor
year_built,House,Year of original home construction,Mecklenburg County Assessor
built_use_style,House,"Building Type, e.g. Condominium or Townhouse",Mecklenburg County Assessor
grade,House,Quality of construction materials and craftsmanship,Mecklenburg County Assessor
story,House,Number of stories ,Mecklenburg County Assessor
heat,House,"Heat source, e.g. Forced Air or Heat Pump",Mecklenburg County Assessor
fuel,House,"Fuel source, e.g. Gas or Electric",Mecklenburg County Assessor
foundation,House,"Type of foundation, e.g. Slab or Crawl Space",Mecklenburg County Assessor
external_wall,House,"External wall material, e.g. Brick or Vinyl",Mecklenburg County Assessor
population_density,Neighborhood,Total population estimate divided by land area,"2020: U.S. Census Bureau 2020 Census , 2013-2018: Mecklenburg County Tax Parcels (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; , 2010: U.S. Census Bureau 2010 Census, U.S. Census Bureau TIGER (Area), via Mecklenburg QOL Explorer"
proficiency_elementary_school,Neighborhood,Percentage of students in grades 3-5 proficient on End of Grade testing,"Charlotte-Mecklenburg Schools, via Mecklenburg QOL Explorer"
proficiency_middle_school,Neighborhood,Percentage of students in grades 6-8 proficient inEnd of Grade testing,"Charlotte-Mecklenburg Schools, via Mecklenburg QOL Explorer"
student_absenteeism,Neighborhood,Percentage of students absent 10% or more of school days,"Charlotte-Mecklenburg Schools, via Mecklenburg QOL Explorer"
neighborhood_school_attendance,Neighborhood,Percent of students attending their assigned school,"Charlotte-Mecklenburg Schools, via Mecklenburg QOL Explorer"
fire_call_rate,Neighborhood,"Fire calls for service per 1,000 residents","Charlotte Fire Department, Medic911 ;  Population,  via Mecklenburg QOL Explorer"
311_request_rate,Neighborhood,Number of 311 calls per 100 people,"Charlotte-Mecklenburg 311, July 1 (Previous Year)- June 30, (Year); Population Estimate, via Mecklenburg QOL Explorer"
